cid,smiles,acvalue,categories
145984506,CC1C(C(C(C(O1)OC2C(C(COC2OC3CCC4(C(C3(C)C)CCC5(C4CC=C6C5(CCC7(C6CC(CC7)(C)C)C(=O)NCC8=CN(N=N8)C9=CC=C(C=C9)C(F)(F)F)C)C)C)OC1C(C(C(C(O1)CO)O)O)O)O)O)O)O,3.98,inhibitor
145979755,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)Br)OC)OC,3.98,inhibitor
145991940,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=CC(=C8)OC)OC)OC,3.99,inhibitor
145983873,CC1(CCCC23C1CC(C45C2C(CC(C4O)C(=C)C5=O)O)OC3OCCC6=CN(N=N6)CC7=CC=C(C=C7)Cl)C,4.02,inhibitor
127033014,C1CCN(CC1)CC(=O)N2C(CC(=N2)C3=CC=CC=C3)C4=CC5=CC=CC=C5OC4=O,4.12,inhibitor
145954716,COC1=CC2=C(C=C1)SC(=N2)NC(=O)CN3C=C(C4=CC=CC=C43)C(=O)C(=O)N5CCCCC5,4.2,inhibitor
137636363,CCC=C(C1=CC(=C(C(=C1)OC)OC)OC)C(=CC2=CC(=C(C=C2)OC)O)C,4.23,inhibitor
145951184,CC12CC(C3C(C1CCC2OC)CCC4=CC(=C(C=C34)OC)OC)OC(=O)C5=CC=C(C=C5)NC(=O)CN6CCN(CC6)C,4.29,inhibitor
56673771,CC(C)CC(C(=O)N1CC2(CC1C(=O)NCCCCCC(=O)NO)SCCS2)NC(=O)OC(C)(C)C,4.3,inhibitor
145981119,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=CC9=C8N=CC=C9)OC)OC,4.3,inhibitor
137658952,C1=CC(=CC=C1CNCC2=NC3=C(C=C2)C=C(C=C3)Cl)C=CC(=O)NO,4.35,inhibitor
145983479,CC1(CCCC23C1CC(C45C2C(CC(C4O)C(=C)C5=O)O)OC3OCCC6=CN(N=N6)CC7=CC=CC=C7Cl)C,4.37,inhibitor
90465905,C1COC2(C3=C(C=CC(=C3)Br)N(C2=O)CC(=O)NC4=CC=C(C=C4)C(=O)NC5=CC=CC=C5N)OC1,4.43,inhibitor
127049542,C1=CC=C(C=C1)N2C=C(C(=N2)C3=CC=C(C=C3)Cl)C(=O)C=CNC4=CC=C(C=C4)O,4.43,inhibitor
145989378,CN1CCC2=CC(=C3C=C2C1CC4=CC=C(C=C4)OC5=C(C=C(C(=C5)CC6C7=C(O3)C(=C(C=C7CCN6C)OC)OC)NS(=O)(=O)C8=CC=C(C=C8)[N+](=O)[O-])OC)OC,4.44,inhibitor
